	Fat(g)	Carbs(g)	Prot(g)	Calories
Popular Serving Sizes of Greek Salad				
 1/4 cup\	1.82\	0.85\	1.75\	27\
 1/2 cup\	3.64\	1.69\	3.5\	53\
 1 cup\	7.28\	3.38\	6.99\	106\
 1 oz\	1.96\	0.91\	1.89\	29\
 Greek Pasta Salad\	14\	14\	4\	200\
 Reduced Fat Greek Salad\	7\	13\	8\	140\
 Greek Orzo Salad\	23\	47\	21\	420\
 Greek Chicken Salad\	32\	32\	38\	584\
