	Fat(g)	Carbs(g)	Prot(g)	Calories
Popular Types of Carp				
 1 fillet\	12.21\	-\	38.87\	277\
 3 oz\	4.76\	-\	15.16\	108\
 1 fillet\	12.19\	-\	38.86\	275\
 3 oz\	6.09\	-\	19.43\	138\
 Baked or Broiled Carp\	9.87\	0.54\	19.26\	173\
 Fried Floured or Breaded Carp\	8.99\	7.03\	11.84\	159\
 Steamed or Poached Carp\	6.03\	-\	19.2\	137\
 Smoked Carp\	7.43\	-\	23.68\	168\
